Q216400,Q2229738
Q712596,Q116963
Q73990,Q50424606
Q5396010,Q18575759
Q44575,Q5243350
Q1281336,Q4125360
Q5216589,Q6029810
Q515363,Q7745910
Q180377,Q7298657
Q193346,Q2295163
Q506829,Q9039511
Q2850829,Q3227667
Q438273,Q16566205
Q1396589,Q5243353
Q21150112,Q6029828
Q1454549,Q18577478
Q1439756,Q18577478
Q1117642,Q18577478
Q712596,Q117108
Q558425,Q7745913
Q912893,Q20569514
Q326459,Q4126297
Q727257,Q3227669
Q316610,Q2295267
Q274348,Q16566258
Q36591,Q117431
Q153717,Q6029865
Q18214187,Q18578080
Q292629,Q5243360
Q18535607,Q20569518
Q467581,Q118694
Q50450047,Q50449911
Q2685,Q4126308
Q3052976,Q3227679
Q188987,Q2295976
Q3165788,Q18578114
Q4015092,Q16566302
Q457608,Q6030000
Q1746111,Q5243363
Q3339804,Q7745921
Q912893,Q20569523
Q728558,Q7299954
Q124617,Q4126320
Q81447,Q119246
Q1055126,Q3227683
Q2599418,Q18578219
Q437970,Q6030003
Q1399264,Q16566461
Q1528007,Q2296253
Q4890333,Q9048972
Q4954313,Q7745935
Q6474003,Q5243364
Q314553,Q4126382
Q13128003,Q20569525
Q1132175,Q119534
Q2470299,Q3227690
Q119679,Q12193778
Q1356521,Q18583604
Q50483777,Q50479348
Q3605723,Q16568183
Q4080467,Q16568183
Q5488487,Q16568183
Q99470,Q2296270
Q3929711,Q5243368
Q5921198,Q7745938
Q47125129,Q20569528
Q47110111,Q4126589
Q47110114,Q4126589
Q1522777,Q2296277
Q50496876,Q50479978
Q737768,Q3227706
Q7487393,Q18584069
Q1063507,Q16568186
Q455780,Q5243378
Q298761,Q119567
Q4885768,Q7745946
Q47125118,Q20569532
Q1198516,Q6030214
Q1207530,Q2296691
Q3393472,Q9050485
Q5395461,Q18585443
Q489193,Q4127020
Q298761,Q5243384
Q47087,Q7300191
Q12230387,Q12193807
Q15731247,Q3227725
Q14508658,Q20569536
Q3703180,Q18589135
Q766920,Q9050871
Q1140033,Q5243401
Q437370,Q7300209
Q9364,Q119709
Q12237709,Q12193822
Q50484580,Q50480752
Q4194570,Q4127069
Q13128257,Q20569538
Q538962,Q7745950
Q57277,Q22281590
Q39803,Q2296752
Q9438,Q119823
Q2695544,Q18589378
Q5982090,Q7300256
Q528647,Q5243411
Q3527376,Q3227733
Q5522892,Q7745965
Q47125077,Q20569541
Q16298636,Q50498610
Q45765,Q4127106
Q6681043,Q7300366
Q2695544,Q18589382
Q34981,Q2297144
Q314553,Q2297144
Q218679,Q3227744
Q3372117,Q119854
Q921774,Q119854
Q3185943,Q119854
Q296256,Q5243636
Q35155,Q4127192
Q7819104,Q50499277
Q189119,Q120288
Q5660732,Q7300419
Q308123,Q12193962
Q35610,Q2297190
Q7638866,Q6031432
Q296256,Q5243637
Q47125136,Q20569548
Q128790,Q3227753
Q35064,Q120595
Q5858407,Q9052597
Q2064855,Q5243648
Q977682,Q2297868
Q3158693,Q3227756
Q546374,Q7745995
Q3751552,Q18590116
Q1043,Q16568208
Q295406,Q4127669
Q7794469,Q4127669
Q23696,Q5244243
Q6534665,Q12194051
Q16984937,Q50500042
Q178403,Q123322
Q47121493,Q20569554
Q790290,Q6031825
Q350404,Q2297904
Q3121901,Q3227764
Q4469335,Q4127676
Q961693,Q5244314
Q719711,Q2297909
Q47123495,Q20569560
Q352810,Q9054851
Q859,Q123397
Q2427599,Q7300524
Q470101,Q3227769
Q316246,Q7746002
Q2066821,Q4127734
Q47502559,Q50500708
Q126400,Q22283332
Q315871,Q5244322
Q522440,Q9058635
Q380207,Q2297952
Q447814,Q4127771
Q187019,Q7300531
Q11865571,Q50501184
Q116469,Q3227772
Q3103087,Q18600753
Q213996,Q18600753
Q28147,Q125628
Q737442,Q7746015
Q37621,Q5244329
Q347268,Q22284020
Q5364822,Q20569562
Q999904,Q9059641
Q236233,Q4127778
Q1937782,Q7300600
Q19015,Q2298506
Q439292,Q7746025
Q302296,Q3227773
Q47502789,Q50502202
Q79759,Q5244341
Q36591,Q127149
Q22284240,Q22284224
Q4073010,Q4127976
Q748967,Q9060516
Q6830363,Q20569571
Q7375302,Q7300610
Q201484,Q5244434
Q50386442,Q50503095
Q353068,Q6032836
Q606553,Q7746042
Q3292076,Q3227774
Q551638,Q22284289
Q6530,Q4127982
Q60178,Q9061532
Q733560,Q7300611
Q128560,Q2298778
Q13128587,Q20569572
Q3777031,Q18602575
Q33977,Q127284
Q462266,Q6032852
Q555575,Q5244437
Q4468156,Q50505378
Q13415799,Q16568241
Q131549,Q3227775
Q6132138,Q7746050
Q153796,Q4128016
Q231841,Q7300697
Q11705310,Q9061933
Q5941507,Q18602652
Q58811,Q2298931
Q20560502,Q20569574
Q16198372,Q5244456
Q746118,Q3227787
Q3543852,Q6033039
Q347268,Q22284365
Q7422394,Q50512322
Q34981,Q4128521
Q5113060,Q127459
Q3181114,Q7746054
Q13129891,Q20569585
Q7314,Q9062080
Q154751,Q5244595
Q9317,Q2299605
Q3058962,Q3227798
Q347268,Q22284489
Q3009110,Q22284489
Q37484784,Q22284489
Q1928721,Q50512437
Q129916,Q127661
Q3898050,Q6033391
Q1065595,Q7300891
Q26935181,Q7746061
Q1389266,Q18603744
Q345249,Q2300209
Q76579,Q5244649
Q10307906,Q50512981
Q561721,Q7746070
Q20562445,Q20569590
Q1134327,Q7300991
Q190884,Q4128937
Q616169,Q9065460
Q12238379,Q12194113
Q314993,Q3227807
Q5230968,Q50513190
Q696950,Q5244654
Q13129891,Q20569596
Q314454,Q4128986
Q8082501,Q6034138
Q991620,Q7301001
Q2489779,Q7746088
Q3014085,Q9068085
Q731866,Q12194121
Q131549,Q3227814
Q319084,Q128242
Q5343818,Q22290335
Q47111607,Q4129014
Q15514059,Q50513570
Q765747,Q5244656
Q462138,Q6034163
Q38337,Q2300607
Q5240176,Q7301064
Q239911,Q7746098
Q1183386,Q5244686
Q436849,Q50513827
Q1367996,Q6034491
Q22264395,Q22294890
Q47121685,Q20569599
Q523174,Q4129040
Q5395461,Q9070743
Q462755,Q2300633
Q481499,Q12194288
Q363810,Q128324
Q376271,Q7301251
Q319169,Q7746103
Q1077142,Q5244706
Q347685,Q4129463
Q3270328,Q128457
Q2038095,Q2300992
Q3087498,Q3227843
Q316431,Q7746113
Q1659739,Q9073873
Q76816,Q6034655
Q6504638,Q4130975
Q67375,Q5244782
Q430968,Q22295891
Q282883,Q18608747
Q401463,Q12194398
Q314987,Q128918
Q47125091,Q20569606
Q193674,Q3227849
Q982240,Q2301060
Q314215,Q7301253
Q7792607,Q7746131
Q1821699,Q50517374
Q4405008,Q4131965
Q180903,Q9073935
Q22298651,Q22298633
Q71067,Q5244885
Q403744,Q12194408
Q192124,Q129048
Q18536007,Q20569609
Q256821,Q2301306
Q50522278,Q50522418
Q128560,Q3227851
Q6711,Q7301264
Q5081877,Q7746135
Q2598859,Q9075463
Q316357,Q5244895
Q2381937,Q18609511
Q12324177,Q22299112
Q401875,Q6034702
Q12261070,Q50527464
Q6527,Q129285
Q947986,Q4132785
Q240786,Q2301398
Q3396810,Q20569615
Q233956,Q7301267
Q184500,Q5244899
Q285007,Q7746144
Q1394078,Q18609577
Q5478598,Q9076112
Q551550,Q3227852
Q20533309,Q50529411
Q296299,Q2301826
Q8018,Q5244902
Q212993,Q4133134
Q21710868,Q4133134
Q755939,Q7301273
Q232364,Q6034848
Q6527,Q129289
Q17457,Q22302729
Q9012957,Q9076894
Q123216,Q3227853
Q14237969,Q18609857
Q67169,Q2302824
Q253568,Q12194527
Q20533309,Q50529559
Q1882308,Q5244904
Q6527,Q129450
Q3478799,Q6034882
Q270705,Q18610061
Q931472,Q22302935
Q313673,Q2303196
Q6471266,Q50533897
Q297532,Q3227858
Q6019363,Q9077209
Q713206,Q5244944
Q244390,Q4133532
Q22303289,Q22303291
Q270705,Q18610068
Q6527,Q129476
Q983233,Q2303664
Q378807,Q3227879
Q50572772,Q50536836
Q50572379,Q50536836
Q50872642,Q50536836
Q720317,Q7746158
Q1248054,Q7301353
Q22304391,Q22304407
Q4307894,Q4134661
Q313460,Q129493
Q47120746,Q20569629
Q1226315,Q5244968
Q437798,Q2303726
Q724517,Q9078921
Q11692745,Q9078921
Q649487,Q3227887
Q16225734,Q7301355
Q6419923,Q4135489
Q22304524,Q22304550
Q43736,Q2303748
Q4716562,Q6035100
Q13129090,Q20569637
Q2584074,Q12194855
Q1984946,Q3227894
Q1061225,Q7301376
Q2196248,Q22304611
Q52224,Q4135514
Q4936308,Q129515
Q236660,Q129515
Q236829,Q2303919
Q47125034,Q20569639
Q465834,Q9080010
Q719711,Q5244972
Q7803816,Q18610758
Q471044,Q12194869
Q7823400,Q7746193
Q2587569,Q16568516
Q312853,Q7301391
Q435401,Q3227905
Q508501,Q2303932
Q5536756,Q22304720
Q128790,Q129541
Q982892,Q9080236
Q1884754,Q50552817
Q3273337,Q5244993
Q196773,Q18610925
Q4120750,Q4135682
Q1387224,Q7746195
Q5230665,Q7301411
Q454651,Q22305382
Q366266,Q3227916
Q520135,Q3227916
Q50622268,Q50557644
Q82925,Q129778
Q62821,Q9080958
Q965375,Q2304272
Q665768,Q5245077
Q186335,Q6035197
Q731866,Q12194924
Q21392311,Q16568738
Q2623787,Q3227920
Q432322,Q7746211
Q428755,Q7301415
Q3175156,Q18611036
Q13129328,Q20569650
Q2360782,Q4137467
Q373119,Q9080961
Q333713,Q2304825
Q312579,Q5245078
Q1376734,Q50559428
Q1067346,Q6035299
Q190220,Q129929
Q188176,Q7746213
Q2851670,Q3227921
Q462666,Q22317520
Q2481000,Q7301421
Q746018,Q2305371
Q50559363,Q50559474
Q1990033,Q4137914
Q207359,Q6035396
Q18535558,Q20569659
Q1367995,Q5245101
Q318462,Q7746222
Q207544,Q130295
Q718828,Q7301474
Q2707927,Q16569742
Q526927,Q22317569
Q3181902,Q18611167
Q738615,Q2305837
Q734092,Q9081784
Q47125302,Q20569660
Q115704,Q6035811
Q5971711,Q5245109
Q3398111,Q50566482
Q223985,Q4138427
Q4119552,Q12195033
Q4260925,Q7746232
Q3181902,Q18611168
Q60030,Q7301483
Q9061,Q7301483
Q215263,Q130310
Q6809953,Q20569661
Q215937,Q9083272
Q68219,Q16569745
Q3398111,Q50567109
Q2415420,Q5245110
Q2627241,Q6035814
Q320619,Q4139023
Q981839,Q2306345
Q3594808,Q12195039
Q47115848,Q7301492
Q458860,Q7746234
Q153159,Q130924
Q18535558,Q20569666
Q128790,Q3227965
Q28754024,Q50567812
Q449538,Q4139929
Q228801,Q16569753
Q188176,Q2306586
Q1066463,Q5245113
Q263254,Q6035968
Q3091386,Q12195099
Q962160,Q7301514
Q22328283,Q22328285
Q189869,Q18613756
Q3309102,Q3227971
Q458860,Q7746235
Q35064,Q2307329
Q314929,Q5245119
Q12402931,Q50567932
Q4282888,Q4140816
Q1281336,Q4140816
Q5592394,Q16569780
Q3371342,Q7301539
Q12240405,Q12195260
Q21535585,Q22328309
Q458860,Q7746238
Q1025598,Q131640
Q79759,Q2307419
Q4239824,Q4141081
Q43994,Q9087117
Q36951,Q16569837
Q3395167,Q50568777
Q7343629,Q5245125
Q217110,Q7301993
Q81438,Q132042
Q270648,Q6036010
Q1384963,Q22328383
Q547466,Q18620270
Q313185,Q3227984
Q558416,Q2307461
Q1910044,Q2307461
Q458860,Q7746240
Q43994,Q9087120
Q721423,Q4141106
Q603855,Q16569840
Q513603,Q20569680
Q813901,Q7302020
Q1352622,Q5245129
Q188668,Q5245129
Q19015,Q18620356
Q181659,Q132062
Q2981169,Q3228006
Q637306,Q6036022
Q41532,Q2307843
Q1744216,Q22328929
Q318192,Q9087188
Q458860,Q7746246
Q5362284,Q7302023
Q450243,Q7302023
Q991543,Q7302023
Q7282063,Q7302023
Q708581,Q7302023
Q5497756,Q7302023
Q5214728,Q7302023
Q5372189,Q7302023
Q7273965,Q7302023
Q3293094,Q7302023
Q7279260,Q7302023
Q4757350,Q7302023
Q16731173,Q7302023
Q7660012,Q7302023
Q896817,Q7302023
Q7185974,Q7302023
Q16105994,Q7302023
Q6763605,Q7302023
Q13563281,Q7302023
Q8039509,Q7302023
Q6779936,Q7302023
Q7807535,Q7302023
Q5498895,Q7302023
Q7279449,Q7302023
Q5606436,Q7302023
Q3102628,Q50572305
Q4231088,Q4141322
Q236829,Q132269
Q321153,Q5245151
Q166351,Q2308541
Q75812,Q18620443
Q758126,Q6036030
Q4116044,Q12197626
Q3484644,Q3228022
Q122386,Q22329201
Q22329172,Q22329201
Q2831662,Q22329201
Q458860,Q7746247
Q20016411,Q50573541
Q588653,Q4141674
Q736343,Q4141674
Q1368527,Q4141674
Q33760,Q133740
Q522543,Q16570392
Q513603,Q20569689
Q6112651,Q5245173
Q734397,Q6036085
Q289206,Q18620673
Q1927976,Q2309124
Q119679,Q12197630
Q450845,Q7302024
Q20089761,Q22329368
Q20046422,Q22329368
Q458860,Q7746249
Q1526144,Q50577191
Q75612,Q16570470
Q13128018,Q20569692
Q2088428,Q5245177
Q555545,Q3228043
Q547466,Q18620723
Q39837,Q12197641
Q965375,Q2309391
Q47284,Q7302068
Q55415,Q7746258
Q1067,Q134221
Q4710084,Q50580035
Q547466,Q18620989
Q1735899,Q3228057
Q555888,Q16570519
Q437516,Q7302115
Q5971711,Q5245200
Q9546,Q12197644
Q327142,Q6036213
Q161819,Q7746259
Q47108825,Q2310253
Q265855,Q4142626
Q1393305,Q3228071
Q50581656,Q50581603
Q547466,Q18621012
Q236321,Q7302116
Q228801,Q16570578
Q12198099,Q12197776
Q2010807,Q22330937
Q181677,Q135165
Q1356304,Q2310270
Q1366693,Q6036459
Q653366,Q4142980
Q6838825,Q7746261
Q9711,Q3228083
Q15449570,Q50595902
Q737442,Q5245241
Q18535543,Q20569704
Q228801,Q16570648
Q1821848,Q12197778
Q7788201,Q7302135
Q22337595,Q22337596
Q5372484,Q6036669
Q201732,Q135215
Q316806,Q9093172
Q1749059,Q2310343
Q153248,Q3228084
Q2382526,Q50596652
Q13129090,Q20569707
Q3142366,Q18621129
Q75612,Q16570701
Q6051273,Q6036719
Q270199,Q12197935
Q317491,Q5245254
Q38392,Q135515
Q862,Q4143729
Q1190579,Q7746279
Q3369844,Q3228086
Q234663,Q9093178
Q561650,Q2310834
Q584128,Q7302179
Q12348696,Q50605011
Q15052619,Q50605011
Q1323100,Q16570715
Q18535597,Q20569710
Q1322576,Q18621201
Q1237718,Q3228088
Q1341654,Q5245279
Q22338114,Q22338208
Q347268,Q22338208
Q22338199,Q22338208
Q22338322,Q22338208
Q434029,Q4143918
Q261465,Q7302220
Q16990568,Q50605982
Q350404,Q2310892
Q55072099,Q16570724
Q7487393,Q18621263
Q6527,Q135598
Q2960302,Q3228113
Q13132190,Q20569715
Q293571,Q12198341
Q1281336,Q4143938
Q5043056,Q6036897
Q7349439,Q5245281
Q316064,Q9095954
Q361653,Q7302391
Q982227,Q7746335
Q18421581,Q18623878
Q347268,Q22338335
Q22338199,Q22338335
Q22338322,Q22338335
Q16990568,Q50606131
Q1238249,Q2311068
Q334126,Q3228123
Q71804,Q135950
Q1165276,Q4143979
Q63837,Q16570729
Q237235,Q5245286
Q731866,Q12198342
Q3402032,Q20569719
Q263683,Q6037115
Q16990568,Q50606264
Q547653,Q7746337
Q359442,Q22338845
Q18621037,Q18626338
Q309786,Q16570746
Q18691625,Q3228127
Q3116258,Q137322
Q3179715,Q137322
Q2022,Q2311188
Q277766,Q4144100
Q7291606,Q5245301
Q381238,Q6037124
Q529399,Q20569723
Q18633009,Q50607636
Q4701037,Q22338931
Q458346,Q7746344
Q1060636,Q7746344
Q16616182,Q16570764
Q189869,Q18627471
Q977651,Q137332
Q6149692,Q9127788
Q3502134,Q2311340
Q3616265,Q7302516
Q2095814,Q6037252
Q290428,Q5245307
Q47125243,Q20569730
Q18633009,Q50607839
Q370774,Q22340504
Q3081570,Q3228163
Q189869,Q18627473
Q234530,Q7746356
Q83038,Q16570856
Q924550,Q2311403
Q234255,Q7302524
Q3849496,Q9127890
Q6056058,Q6037313
Q12227911,Q12198773
Q4957146,Q5245323
Q316785,Q137536
Q155106,Q2311434
Q619051,Q3228166
Q189869,Q18627475
Q523541,Q22340544
Q316138,Q7746367
Q2009881,Q4144864
Q3675491,Q6037386
Q15230348,Q7302532
Q76437,Q9128210
Q3014469,Q50610292
Q216896,Q5245326
Q3430000,Q12198811
Q977651,Q137629
Q189869,Q18627476
Q236727,Q3228171
Q2717838,Q20569738
Q977682,Q2311591
Q3938455,Q7746368
Q45075,Q22340659
Q351221,Q5245348
Q1066587,Q4145449
Q15428934,Q50613263
Q240174,Q9139189
Q504,Q137869
Q9015577,Q16571108
Q22340680,Q22340684
Q2847554,Q22340684
Q330376,Q3228173
Q20560998,Q20569742
Q189869,Q18627477
Q7424307,Q5245358
Q462356,Q7746379
Q2741798,Q6037408
Q2272398,Q2311873
Q1677403,Q7302565
Q761415,Q9141810
Q189119,Q4145994
Q21884175,Q22341169
Q22341173,Q22341169
Q22341176,Q22341169
Q6760032,Q7746399
Q721999,Q3228176
Q637306,Q5245364
Q151872,Q2312238
Q742632,Q137969
Q793895,Q137969
Q2741798,Q6037409
Q313377,Q9144808
Q6504569,Q7302568
Q544678,Q18629545
Q666795,Q4146080
Q12188980,Q12199728
Q312632,Q3228178
Q465181,Q6037481
Q6193130,Q2312498
Q273034,Q9154650
Q929695,Q7746401
Q5293679,Q7302689
Q295431,Q138046
Q6504384,Q5245384
Q57389,Q4146087
Q3707170,Q22341844
Q193111,Q18632305
Q4972443,Q50656776
Q21150238,Q6037513
Q448992,Q7302690
Q1399264,Q16571411
Q7172752,Q7746404
Q640352,Q3228186
Q781484,Q5245388
Q3438862,Q22342866
Q3386315,Q22342866
Q20155175,Q22342866
Q20046422,Q22342866
Q981913,Q6037567
Q193111,Q18632325
Q79822,Q9164676
Q700555,Q4146331
Q2382526,Q50657067
Q258753,Q16571498
Q1157861,Q7746405
Q7387705,Q7302724
Q491558,Q12200336
Q912443,Q5245391
Q376132,Q2313910
Q47125248,Q20569759
Q4867238,Q6037601
Q15069307,Q9164773
Q179858,Q18633014
Q470302,Q138743
Q314498,Q4146351
Q230586,Q7746409
Q378807,Q16571522
Q2754987,Q50658496
Q2612563,Q12200601
Q218690,Q3228195
Q3401751,Q20569761
Q20089761,Q22343674
Q20155175,Q22343674
Q2170652,Q2313923
Q4963691,Q5245412
Q3646760,Q9166537
Q138871,Q138746
Q508392,Q50662011
Q211785,Q4146391
Q521191,Q16571553
Q234403,Q3228199
Q57372,Q6037603
Q12251520,Q12200685
Q1151352,Q7302977
Q3290222,Q7302977
Q6271636,Q5245417
Q1382501,Q2314416
Q184440,Q139879
Q193111,Q18633320
Q49072,Q7746425
Q50663037,Q50670978
Q522543,Q16571598
Q2965279,Q3228203
Q607825,Q4146397
Q182870,Q6037650
Q216813,Q9182405
Q356429,Q7302994
Q134456,Q16572342
Q333123,Q2314792
Q184440,Q139894
Q1258959,Q7746428
Q5045302,Q22343900
Q7358768,Q22343900
Q193111,Q18633411
Q234392,Q5245434
Q50663044,Q50670988
Q1086549,Q4146414
Q15513491,Q4146414
Q463502,Q9183601
Q160783,Q3228206
Q7710392,Q6037705
Q55038745,Q12201104
Q892,Q2314942
Q3181314,Q2314942
Q1076511,Q22344388
Q881277,Q7303002
Q184440,Q139957
Q347461,Q9183865
Q193111,Q18633608
Q879441,Q50671089
Q3161932,Q20569778
Q296256,Q6037784
Q1508877,Q3228211
Q241026,Q12201305
Q128560,Q7746430
Q83038,Q16572864
Q299200,Q2315123
Q184440,Q140000
Q4253802,Q7303010
Q272076,Q5245451
Q43499,Q4147595
Q254524,Q9189246
Q193111,Q18633703
Q1486979,Q50671117
Q176246,Q3228218
Q27140454,Q20569787
Q4867238,Q6037798
Q215665,Q140016
Q214622,Q16573269
Q534455,Q5245458
Q3595818,Q12201327
Q254041,Q7303244
Q12147863,Q22344532
Q193111,Q18633710
Q722320,Q9192201
Q3435570,Q6037805
Q50663062,Q50671124
Q2358983,Q2315518
Q913061,Q140036
Q2939843,Q3228221
Q47125309,Q20569790
Q7821816,Q7303332
Q26873,Q7746453
Q957627,Q16573448
Q233566,Q5245459
Q12147863,Q22344560
Q47114853,Q6037809
Q18636898,Q18633929
Q4975934,Q9195181
Q271457,Q4147787
Q128790,Q3228222
Q1547611,Q50671136
Q2188850,Q2315650
Q184440,Q140050
Q3500849,Q5245487
Q134661,Q7746455
Q313925,Q6037862
Q125552,Q16573972
Q12227833,Q12201387
Q50663168,Q50671142
Q3105613,Q3228223
Q364901,Q4148516
Q1512105,Q18634917
Q1468001,Q18634917
Q977682,Q2315925
Q9341778,Q9195644
Q751831,Q7303566
Q69430,Q22348222
Q9068,Q140057
Q450868,Q7746474
Q13129201,Q20569799
Q665768,Q5245489
Q545905,Q6037952
Q50663184,Q50671168
Q3170380,Q3228224
Q4230598,Q18635148
Q364901,Q4148524
Q1942017,Q7303607
Q970324,Q9195779
Q132805,Q141568
Q738114,Q7746477
Q3406018,Q20569805
Q3351888,Q6037954
Q1393315,Q3228228
Q1399637,Q7303652
Q2573896,Q50671190
Q166351,Q2316144
Q1713908,Q18635158
Q364901,Q4148560
Q2408328,Q7746482
Q369206,Q5245504
Q519984,Q143031
Q216813,Q9197996
Q991,Q3228235
Q5236554,Q6037971
Q316884,Q16574426
Q50661279,Q50671192
Q3402435,Q20569807
Q207640,Q7303757
Q7707154,Q7303757
Q189869,Q18635258
Q2827445,Q12201807
Q133855,Q2316161
Q13423853,Q22348396
Q4800143,Q5245553
Q707569,Q4150259
Q3165288,Q3228242
Q33977,Q143707
Q6225922,Q9198169
Q2152278,Q7746502
Q4525911,Q6037981
Q13125554,Q20569813
Q73407,Q50671197
Q108206,Q2316733
Q189869,Q18635259
Q182047,Q5245555
Q403498,Q12201810
Q159966,Q9198293
Q3164950,Q3228250
Q47125270,Q20569822
Q2091289,Q4153225
Q3862976,Q7303786
Q189869,Q6037986
Q339577,Q7746520
Q26210451,Q50671204
Q189869,Q18635260
Q2957939,Q12201833
Q7243,Q143931
Q7811835,Q5245565
Q18535607,Q20569824
Q2959168,Q22350073
Q6530,Q9198373
Q130786,Q6037988
Q5512179,Q7303849
Q13739763,Q2316982
Q3579990,Q3228252
Q340247,Q16575316
Q62278,Q50671220
Q189869,Q18635261
Q179126,Q144132
Q1077137,Q5245582
Q6222369,Q7746533
Q78491,Q3228257
Q6121763,Q22351158
Q1380938,Q20569829
Q710973,Q7303881
Q1040500,Q50671230
Q4385163,Q9199598
Q169566,Q2317161
Q3335,Q6037999
Q444065,Q4153660
Q189869,Q18635262
Q42831,Q144547
Q3476794,Q5245583
Q20733,Q3228261
Q2420498,Q20569830
Q720787,Q7746544
Q6093622,Q6038112
Q489193,Q4154157
Q943694,Q2317424
Q5052793,Q22442672
Q6171884,Q50671235
Q293554,Q12201841
Q7200,Q144569
Q189869,Q18635263
Q161842,Q9199642
Q438024,Q5245598
Q333123,Q2317656
Q47125341,Q20569837
Q20733,Q3228266
Q117200,Q16575325
Q1752858,Q7746545
Q125706,Q6038201
Q472525,Q22443077
Q40946,Q4154269
Q189869,Q18635269
Q1698413,Q50671243
Q39829,Q149552
Q4731868,Q3228274
Q12240231,Q12201888
Q7184189,Q7303893
Q3506389,Q9213635
Q33760,Q2317772
Q3398951,Q20569838
Q7325397,Q22443694
Q189869,Q18635270
Q153796,Q4154349
Q1561875,Q50671250
Q2655,Q6038304
Q5894750,Q149993
Q233265,Q7303937
Q12206477,Q12201894
Q738615,Q2318887
Q189869,Q18635271
Q15833924,Q50671258
Q4858541,Q4154432
Q16209620,Q4154432
Q645074,Q6038363
Q358178,Q7746546
Q520892,Q3228283
Q312579,Q151337
Q266661,Q4154836
Q189869,Q18635272
Q1927976,Q2318928
Q955307,Q6038408
Q55821,Q9248354
Q428755,Q7746613
Q231467,Q22480720
Q363810,Q151550
Q419989,Q2319048
Q6534479,Q12201903
Q2896513,Q3228286
Q608512,Q4154961
Q1684760,Q16576211
Q1360459,Q50671273
Q11785167,Q9248682
Q189869,Q18635315
Q955307,Q6038413
Q1560699,Q20569853
Q6375704,Q7746615
Q712191,Q7304047
Q731866,Q12201916
Q188987,Q2319431
Q7197,Q151578
Q20010652,Q22566787
Q920996,Q16576708
Q50663217,Q50671279
Q3158118,Q3228296
Q781423,Q9248994
Q316610,Q4154974
Q955307,Q6038416
Q189869,Q18635316
Q6981284,Q7746625
Q565665,Q12201933
Q379520,Q151919
Q6962708,Q7304048
Q3398492,Q20569857
Q22567710,Q22567567
Q3802234,Q2319454
Q118097,Q3228298
Q563059,Q50671288
Q189869,Q18635317
Q2607617,Q12201940
Q1701052,Q6038432
Q34981,Q7746627
Q163953,Q7304073
Q6218515,Q22569500
Q6527,Q152070
Q16937973,Q50671293
Q366150,Q2319623
Q296042,Q9251424
Q189869,Q18635318
Q1984946,Q3228301
Q2088428,Q7746628
Q38337,Q4155630
Q7340163,Q7304078
Q5300774,Q7304078
Q45765,Q152267
Q729543,Q22569532
Q22569533,Q22569532
Q50663224,Q50671306
Q3398492,Q20569863
Q128790,Q3228304
Q189869,Q18635319
Q366150,Q2320018
Q823003,Q6038572
Q7398795,Q12202004
Q80095,Q4156173
Q318099,Q152629
Q5233147,Q22569544
Q8003180,Q7304092
Q6832121,Q20569869
Q48560382,Q50671314
Q6530,Q9257955
Q4757040,Q7746652
Q559919,Q6038638
Q189869,Q18635320
Q366150,Q2320226
Q318099,Q152818
Q105158,Q4156454
Q5233147,Q22569556
Q250240,Q7304093
Q1246391,Q16577776
Q319461,Q9260023
Q50663230,Q50671325
Q189869,Q18635321
Q762,Q153028
Q977682,Q2320864
Q562556,Q3228312
Q7193066,Q6038649
Q403489,Q12202175
Q4102809,Q4156816
Q3331118,Q20569879
Q6500674,Q7304112
Q7900538,Q22570001
Q2451001,Q3228315
Q1743716,Q7746658
Q96919,Q153935
Q189869,Q18635322
Q25161,Q2320903
Q198770,Q6038673
Q266173,Q7304189
Q350504,Q9292904
Q3398492,Q20569880
Q2627391,Q4157194
Q3165288,Q3228339
Q283001,Q22570086
Q184440,Q154675
Q189869,Q18635324
Q520109,Q7746663
Q366150,Q2320911
Q6085672,Q6038688
Q7724,Q9293026
Q20411321,Q12202202
Q4718062,Q7304243
Q734397,Q16578417
Q13125469,Q20569885
Q1048828,Q4157205
Q22570382,Q22570348
Q312632,Q3228343
Q189869,Q18635337
Q1225086,Q2321357
Q5317144,Q2321357
Q62046,Q6038804
Q2551187,Q12202203
Q472568,Q154753
Q3187692,Q16578726
Q2303206,Q9293886
Q3398492,Q20569896
Q220450,Q7746709
Q224113,Q3228346
Q4965445,Q7304387
Q4719313,Q50694187
Q189869,Q18635338
Q716359,Q4157674
Q3386055,Q22570387
Q22570363,Q22570387
Q22570346,Q22570387
Q184440,Q154761
Q2203903,Q2322772
Q58029,Q6038813
Q119679,Q12202205
Q6512,Q9294209
Q1631875,Q20569897
Q50695263,Q50702884
Q718463,Q7746763
Q2902847,Q4157927
Q4332253,Q2322964
Q11688807,Q2322964
Q540344,Q18635581
Q76218,Q3228351
Q2100107,Q6038875
Q275929,Q16578932
Q7343070,Q7304391
Q184440,Q154763
Q66213,Q50710543
Q13032937,Q22575015
Q4121051,Q7746778
Q314797,Q18636337
Q982361,Q3228356
Q922071,Q7304392
Q184440,Q154766
Q965375,Q2323020
Q6809463,Q12202211
Q545915,Q22575833
Q3129634,Q20569911
Q5407804,Q20569911
Q1044648,Q7746817
Q66213,Q50710596
Q440569,Q18636845
Q5372484,Q6038929
Q130786,Q4158104
Q982361,Q3228362
Q184440,Q154767
Q47152,Q2323961
Q13132053,Q20569912
Q2571058,Q6038935
Q3087498,Q3228371
Q1347163,Q18636847
