character_id;character_label;character_description;character_name;character_sex;character_DoB;character_DoD
Q11853219;Asumaniemi;fictional human;Asumaniemi;male;;
Q3166183;Jean-Jacques Bixiou;Honoré de Balzac character;Jean-Jacques Bixiou;male;;
Q30243330;Diotima;character from Musil's The Man Without Qualities;Diotima;female;+1880-00-00T00:00:00Z;
Q12744561;;;;male;;
Q1780654;Nestor Burma;fictional character created by Léo Malet;Nestor Burma;male;+1909-03-07T00:00:00Z;
Q3933075;Renzo Tramaglino;;Renzo Tramaglino;male;;
Q29584673;Anna Trifonovna Bubnova;character from Dostoyevsky's Humiliated and Insulted;Anna Trifonovna Bubnova;female;;
Q2002477;Prince Caspian;fictional character, a lead character in The Chronicles of Narnia, books 2 and 3;Prince Caspian;male;;
Q28736896;Ernest "Chili" Palmer;fictional character in Elmore Leonard's Get Shorty and Be Cool;Ernest "Chili" Palmer;;;
Q1976939;Josef Švejk;fictional character from The Good Soldier Švejk;Josef Švejk;male;+1891-00-00T00:00:00Z;+1965-00-00T00:00:00Z
Q27478344;;;;male;;
Q9356580;Telimena;fictional character;Telimena;female;;
Q21971504;André de Saint-Avit;;André de Saint-Avit;male;;
Q16351;Leonard McCoy;fictional human;Leonard McCoy;male;;
Q24285726;Hizdahr zo Loraq;character in A Song of Ice and Fire;Hizdahr zo Loraq;male;;
Q28658099;Perspicacia Tick;witch from Terry Pratchett's Discworld-novels;Perspicacia Tick;female;;
Q4769425;Annie Sawyer;;Annie Sawyer;female;;
Q4339528;Father Fyodor;fictional character in Ilf and Petrov's novel The Twelve Chairs;Father Fyodor;male;;
Q1093466;Paulus Atreides;fictional character from Dune universe;Paulus Atreides;male;;
Q289355;Hari Seldon;fictional charachter from the Foundation-Universe by Isaac Asimov;Hari Seldon;male;;
Q4574639;Jack Crawford;fictional character;Jack Crawford;male;;
Q2628415;Mikael Blomkvist;;Mikael Blomkvist;male;+1960-01-18T00:00:00Z;
Q2607099;Marisa Coulter;;Marisa Coulter;female;;
Q2991062;Countess Miraclla Karnstein;fictional character created by Sheridan Le Fanu;Countess Miraclla Karnstein;female;;
Q1128478;Kaveh the blacksmith;legendary figure;Kaveh the blacksmith;male;;
Q2471541;Kay Adams-Corleone;;Kay Adams-Corleone;female;;
Q2708078;Daenerys Targaryen;character in A Song of Ice and Fire;Daenerys Targaryen;female;;
Q2720206;;;;female;+1949-10-25T00:00:00Z;
Q18710697;Daisy Buchanan;fictional character from The Great Gatsby;Daisy Buchanan;female;;
Q47486170;Charlotte Haze;character from Vladimir Nabokov's Lolita;Charlotte Haze;female;+1910-00-00T00:00:00Z;+1947-08-00T00:00:00Z
Q384569;Geordi La Forge;character in Star Trek: The Next Generation and its feature films;Geordi La Forge;male;;
Q1994420;Natty Bumppo;;Natty Bumppo;male;;
Q4160404;John Francis Winter;fictional character;John Francis Winter;male;;
Q2726964;Miles Vorkosigan;Fictional protagonist in novel series by Lois McMaster Bujold;Miles Vorkosigan;male;;
Q2330719;Professor Challenger;;Professor Challenger;male;;
Q11692842;Danusia Jurandówna;fictional character;Danusia Jurandówna;female;;
Q48047115;Tammy Preston;Twin Peaks character;Tammy Preston;female;;
Q24944284;Tormund Giantsbane;character in A Song of Ice and Fire;Tormund Giantsbane;male;;
Q1077286;Keyumars;Ancient Iranian mythological figure;Keyumars;male;;
Q28737477;Virgil Webster;fictional character in Elmore Leonard's Cuba Libre and The Hot Kid;Virgil Webster;;;
Q116777;Barbet;Honoré de Balzac character;Barbet;male;;
Q2069947;Tasha Yar;fictional character on Star Trek: The Next Generation;Tasha Yar;female;;
Q607489;Montgomery Scott;fictional character in Star Trek;Montgomery Scott;male;;
Q6252292;John Paul Wiggin;Fictional character in the Ender’s Game series;John Paul Wiggin;male;;
Q1342302;Salvatore Tessio;fictional human;Salvatore Tessio;male;;
Q3560698;Virginie;character in the novel Paul et Virginie;Virginie;female;;
Q1649955;Scarlett O'Hara;fictional character in Gone with the Wind;Scarlett O'Hara;female;+1895-10-12T00:00:00Z;+1999-10-01T00:00:00Z
Q2232602;Jill Pole;fictional girl, second lead character in The Silver Chair (Narnia, book 4);Jill Pole;female;;
Q3658916;;;;male;;+1936-00-00T00:00:00Z
Q46578448;jisamchul;Arirang Novel characters;jisamchul;;;
Q12306805;D'Artagnan;fictional character created by Alexandre Dumas;D'Artagnan;male;;+1673-06-25T00:00:00Z
Q3100764;;;;male;;
Q1055776;Hoshi Sato;fictional character from Star Trek: Enterprise;Hoshi Sato;female;+2129-07-09T00:00:00Z;
Q3809679;John Willoughby;Fictional character in Jane Austen's 1811 novel Sense and Sensibility;John Willoughby;male;;
Q4424324;Pavel Smerdyakov;;Павел Фёдорович Смердяков;male;;
Q28601692;Haines;character in James Joyce's Ulysses;Haines;;;
Q2456444;Renesmee Cullen;daughter of Edward Cullen and Bella Swan, born on September 10, in Breaking Dawn;Renesmee Cullen;female;;
Q1046049;Captain Nemo;character created by Jules Verne;Captain Nemo;male;;
Q1999658;Margarita (Master and Margarita);;Margarita (Master and Margarita);female;;
Q30243644;Leo Fischel;character from Musil's  The Man Without Qualities;Leo Fischel;male;;
Q7888859;;;;male;;
Q11340257;;;;female;;
Q20807843;Thomas Roch;character created by Jules Verne;Thomas Roch;male;;
Q3838466;Lucia Mondella;;Lucia Mondella;female;;
Q1912438;Erast Fandorin;;Erast Fandorin;male;+1856-01-20T00:00:00Z;+1920-00-00T00:00:00Z
Q2446175;Tirian;fictional character, king of Narnia in The Last Battle (Narnia, book 7);Tirian;male;;
Q47482727;Clare Quilty;character from Vladimir Nabokov's Lolita;Clare Quilty;male;+1911-00-00T00:00:00Z;+1952-09-25T00:00:00Z
Q13218515;Carol Marcus;fictional character;Carol Marcus;female;;
Q626756;Ebenezer Scrooge;focal character of Charles Dickens' 1843 novella, A Christmas Carol;Ebenezer Scrooge;male;;
Q510102;Captain Phoebus;character from Victor Hugo's "The Hunchback of Notre Dame";Phœbus de Châteaupers;male;;
Q7070198;Nurse Ratched;main antagonist of Ken Kesey's 1962 novel One Flew Over the Cuckoo's Nest;Nurse Ratched;female;;
Q11866978;Jorma Kariluoto;fictional human;Jorma Kariluoto;male;;
Q1412516;Samantha Wildman;character in Star Trek;Samantha Wildman;female;;
Q2382687;Wizard of Oz;character from The Wonderful Wizard of Oz;Wizard of Oz;male;;
Q837831;Huyan Zhuo;fictional human;Huyan Zhuo;male;;
Q720235;Holden Caulfield;fictional character;Holden Caulfield;male;;
Q3541973;Tullia;Honoré de Balzac character;Tullia;;+1799-00-00T00:00:00Z;
Q2130544;Tracy Bond;;Tracy Bond;female;+1943-00-00T00:00:00Z;+1969-12-00T00:00:00Z
Q11261901;;;;female;+2000-03-25T00:00:00Z;
Q2207092;Mr. Darcy;Price and Prejudice character;Mr. Darcy;male;;
Q9392016;Zosia;fictional character;Zosia;female;;
Q30243280;Bonadea;character from Musil's The Man Without Qualities;Bonadea;female;;
Q3784904;Henry Archer;fictional character from Star Trek: Enterprise;Henry Archer;male;;
Q19799430;Roose Bolton;character in A Song of Ice and Fire;Roose Bolton;male;;
Q37420445;Johann Friedrich von Allmen;;Johann Friedrich von Allmen;male;;
Q9696288;;;;female;;
Q864751;The Hatter;fictional human from Carrolls Alice in Wonderland and Through the Looking-Glass (in the latter, under the name “Hatta”);The Hatter;male;;
Q9292465;Doctor Cornelius;supporting character in Prince Caspian;Doctor Cornelius;male;;
Q936529;Porthos;fictional character from Alexandre Dumas' The Three Musketeers;Porthos;male;;
Q28737390;Joyce Patton;fictional character in Elmore Leonard's Pronto and Riding the Rap;Joyce Patton;;;
Q3930176;Viscount Raoul de Chagny;character from Gaston Leroux's novel The Phantom of the Opera;Viscount Raoul de Chagny;male;;
Q29565998;Anna Andreyevna;character from Dostoyevsky's Humiliated and Insulted;Anna Andreyevna;female;;
Q4452680;Tatyana Larina;one of the main characters of Eugene Onegin;Tatyana Larina;female;;
Q28737427;Jack Foley;fictional character in Elmore Leonard's Out of Sight and Road Dogs;Jack Foley;;;
Q6321887;Andrew Ketterley;fictional man, villain and "the magician" of The Magician's Nephew (Narnia, book 6);Andrew Ketterley;male;;
Q2987625;Donna Noble;Doctor Who character;Donna Noble;female;;
Q33101414;Agathe;character from Musil's The Man Without Qualities;Agathe;female;;
Q28737507;Carl (Carlos) Webster;fictional character in Elmore Leonard's The Hot Kid and Up in Honey's Room;Carl (Carlos) Webster;;;
Q17383302;Rahikainen;fictional character;Rahikainen;male;;
Q46578025;Gamgoldaek;Arirang Novel characters;Gamgoldaek;;;
Q18510587;Paola Brunetti;;Paola Falier;female;;
Q28745287;Melanie;fictional character in Elmore Leonard's The Switch and Rum Punch;Melanie;;;
Q17716439;Sabina;character in Kundera's The Unbearable Lightness of Being;Sabina;female;;
Q2477882;Tatiana Romanova;;Tatiana Romanova;female;;
Q47492656;John Ray, Jr;character from Vladimir Nabokov's Lolita;John Ray, Jr;male;;
Q3857828;Mildred Pierce;;Mildred Pierce;female;;
Q21065543;Mousqueton;;Mousqueton;male;;
Q3024564;Desplein;Honoré de Balzac character;Desplein;male;;
Q324433;Queen of Hearts;character in Lewis Carroll’s “Alice's Adventures in Wonderland”;Queen of Hearts;female;;
Q3273167;Ged;fictional magician, lead character in the Earthsea trilogy;Ged;male;;
Q2386582;Digory Kirke;fictional character in The Chronicles of Narnia, as a boy the protagonist of The Magician's Nephew  (book 6);Digory Kirke;male;;
Q1059919;Jason Bourne;fictional novel and movie character;Jason Bourne;male;+1970-09-13T00:00:00Z;
Q21065544;Grimaud;;Grimaud;male;;
Q7885319;Elvis Cole;fictional detective;Elvis Cole;male;;
Q17546728;;;;;;
Q3556986;Vicomtesse de Beauséant;Honoré de Balzac character;Vicomtesse de Beauséant;;;
Q573988;Leopold Bloom;fictional character in Joyce's Ulysses;Leopold Paula Bloom;male;+1866-00-00T00:00:00Z;
Q19796006;Ramsay Bolton;character in A Song of Ice and Fire;Ramsay Bolton;male;;
Q3166474;Jean-Joachim Goriot;Honoré de Balzac character;Jean-Joachim Goriot;male;+1750-01-01T00:00:00Z;+1820-01-01T00:00:00Z
Q15220681;Temperance Brennan;;Temperance Brennan;;;
Q28722605;Brother Michael;character in James Joyce's Portrait of the Artist;Brother Michael;;;
Q1076932;Nancy Drew;fictional character in a juvenile mystery fiction series created by publisher Edward Stratemeyer;Nancy Drew;female;;
Q14906497;Maxwell Forrest;;Maxwell Forrest;male;;
Q4083088;White King;fictional character from Through the Looking-Glass;White King;male;;
Q2748192;Irma Bunt;;Irma Bunt;female;;
Q1882443;Julian Bashir;Fictional human;Julian Bashir;male;+2341-00-00T00:00:00Z;
Q30331794;Douglas Quail;fictional character;Douglas Quail;male;;
Q934089;Rodion Romanovich Raskolnikov;fictional character;Rodion Romanovich Raskolnikov;male;;
Q18518798;Michele Paci;;Michele Paci;male;;
Q4127228;сaptain Vrungel;;Христофор Бонифатьевич Врунгель;male;;
Q4226652;Adam Kozlevich;fictional character in Ilf and Petrov's novel The Little Golden Calf;Adam Kozlevich;male;;
Q6414261;Kinsey Millhone;fictional character;Kinsey Millhone;female;+1950-05-05T00:00:00Z;
Q29565932;Nikolai Sergueych Ikhmenev;character from Dostoyevsky's Humiliated and Insulted;Nikolai Sergueych Ikhmenev;male;;
Q21197542;Emmanuelle;;Emmanuelle;female;;
Q1989887;Gérard de Villefort;fictional human;Gérard de Villefort;male;+1844-01-01T00:00:00Z;
Q50526514;Harry Goldfarb;Fictional character from Requiem for a Dream.;Harry Goldfarb;male;;
Q11890737;Riitaoja;fictional character;Riitaoja;male;;
Q280608;Tom Bombadil;Middle-earth character;Tom Bombadil;male;;
Q28736873;Jean Shaw Breen;fictional character in Elmore Leonard's LaBrava and Pronto;Jean Shaw Breen;;;
Q16451200;Taras Bulba;literary character;Taras Bulba;male;;
Q1639626;Susan Pevensie;fictional English girl, a lead character in the first two Narnia books;Susan Pevensie;female;;
Q16919411;Jack Power (Ulysses character);character in James Joyce's Ulysses;Jack Power (Ulysses character);male;;
Q1068314;Jack Ryan;fictional character created by Tom Clancy;Jack Ryan;male;+1950-01-01T00:00:00Z;
Q11680307;Brienne of Tarth;character in A Song of Ice and Fire;Brienne of Tarth;female;;
Q29565783;Alyosha;character from Dostoyevsky's Humiliated and Insulted;Alyosha;male;;
Q30243505;Hans Tuzzi;character from Musil's The Man Without Qualities;Hans Tuzzi;male;;
Q21008378;Pierre Aronnax;character created by Jules Verne;Pierre Aronnax;male;;
Q4195541;;;;male;;
Q3662000;;;;;;
Q11872631;Korpela;fictional character;Korpela;male;;
Q12056060;Stannis Baratheon;character in A Song of Ice and Fire;Stannis Baratheon;male;;
Q2886514;;;;female;+1991-03-03T00:00:00Z;
Q11699724;Gerwazy Rębajło;fictional character;Gerwazy Rębajło;male;;
Q3090319;Frédéric de Nucingen;Honoré de Balzac character;Frédéric de Nucingen;male;;
Q2624424;Sookie Stackhouse;;Sookie Stackhouse;female;;
Q6428358;Komisario Palmu;;Komisario Palmu;male;;
Q10544349;Kati;fictional character created by Astrid Lindgren;Kati;female;;
Q28736845;Jack Ryan;fictional character in Elmore Leonard's Big Bounce and Unknown Man No. 89;Jack Ryan;;;
Q2295321;Lestat de Lioncourt;fictional character created by Anne Rice;Lestat de Lioncourt;male;+1760-11-07T00:00:00Z;
Q3658912;Ivan Bezdomniy;character of Mikhail Bulgakov's "The Master and Margarita";Ivan Bezdomniy;male;;
Q3028248;Dinah de La Baudraye;Honoré de Balzac character;Dinah de La Baudraye;female;;
Q939956;Paul Atreides;fictional character from Dune;Paul Atreides;male;;
Q10357223;White Queen;Through the Looking-Glass character;White Queen;female;;
Q2373832;Comte de Rochefort;;comte de Rochefort;male;+1615-01-01T00:00:00Z;+1687-01-01T00:00:00Z
Q371774;Nero Wolfe;fictional character;Nero Wolfe;male;;
Q44835159;Heo Hyong-won;fictional human  in Honbul;Heo Hyong-won;female;;
Q2707157;Janice Rand;fictional character in Star Trek;Janice Rand;female;;
Q6760019;Margaret White;;Margaret White;female;;
Q15732115;Hyrum Graff;Fictional character from the Ender’s Game series.;Hyrum Graff;male;;
Q21972177;Jean-Marie-François Morhange;;Jean-Marie-François Morhange;male;;
Q19816987;Catherine Bennet;Pride and Prejudice character;Catherine Bennet;female;;
Q20251817;Kaarna;fictional human;Kaarna;male;;
Q2885862;Bart Mancuso;fictional human;Bart Mancuso;male;;
Q18670182;Pascal Ertanger;character in French novel "La Théorie de l'information";Pascal Ertanger;male;+1967-11-20T00:00:00Z;
Q651130;Julia;fictional character in George Orwell's Nineteen Eighty-Four;Julia;female;+1958-00-00T00:00:00Z;
Q3166562;Jean-Jules Popinot;Honoré de Balzac character;Jean-Jules Popinot;male;;
Q1640313;Lucy Pevensie;fictional English girl, a lead character in the first three Narnia books;Lucy Pevensie;female;;
Q1340530;Rebecca Chambers;fictional character;Rebecca Chambers;female;+1980-06-20T00:00:00Z;
Q1642566;Dunno;fictional character in Nikolay Nosov's works;Dunno;male;;
Q568470;Meg Giry;character from Gaston Leroux's novel The Phantom of the Opera;Meg Giry;female;;
Q3026260;Diane de Maufrigneuse;Honoré de Balzac character;Diane de Maufrigneuse;female;;
Q2072688;Prince Myshkin;;Prince Myshkin;male;;
Q388271;Simon Templar;fictional character known as The Saint;Simon Templar;male;;
Q3592235;Étienne Lantier;;Étienne Lantier;male;+1846-00-00T00:00:00Z;
Q3132330;Henri de Marsay;Honoré de Balzac character;Henri de Marsay;male;;
Q3040800;Duchesse de Carigliano;Honoré de Balzac character;Duchesse de Carigliano;female;;
Q4232818;Koreiko;fictional character in Ilf and Petrov's novel The Little Golden Calf;Koreiko;male;;
Q24939091;;;;female;;
Q28737534;Louly Brown Webster;fictional character in Elmore Leonard's The Hot Kid and Up in Honey's Room;Louly Brown Webster;;;
Q28737409;Dawn Navarro;fictional character in Elmore Leonard's Riding the Rap and Road Dogs;Dawn Navarro;;;
Q652232;Ciacco;fictional character;Ciacco;male;;
Q6929362;Mr Bennet;Pride and Prejudice character;Mr Bennet;male;;
Q18918303;Tomáš;character in Kundera's The Unbearable Lightness of Being;Tomáš;male;;
Q28719780;Nasty Roche;character in James Joyce's Portrait of the Artist;Nasty Roche;;;
Q16910626;May Goulding Dedalus;character in Joyce's Portrait and Ulysses;May Goulding Dedalus;female;;
Q3757417;Galahad Threepwood;fictional character by P. G. Wodehouse;Galahad Threepwood;male;;
Q2989781;Rilian;fictional character, as lost prince the object of quest in The Silver Chair (Narnia, book 4);Rilian;male;;
Q11715581;Jacek Soplica;fictional character;Jacek Soplica;male;;
Q630823;Sancho Panza;fictional character in the novel Don Quixote;Sancho Panza;male;;
Q738561;Tevye;fictional character;Tevye;male;;
Q17716070;Tereza;character in Kundera's The Unbearable Lightness of Being;Tereza;female;;
Q20666453;Conseil;character created by Jules Verne;Conseil;male;;
Q47486723;Valeria Zborovski;character from Vladimir Nabokov's Lolita;Valeria Zborovski;female;+1900-00-00T00:00:00Z;+1945-00-00T00:00:00Z
Q2307276;Rosa Klebb;;Rosa Klebb;female;+1899-00-00T00:00:00Z;+1963-00-00T00:00:00Z
Q3752543;Robert April;fictional character;Robert April;male;;
Q1098625;Icheb;character in Star Trek: Voyager;Icheb;male;;
Q661491;Esméralda;fictional character from Victor Hugo's The Hunchback of Notre Dame;Esmeralda;female;+1466-00-00T00:00:00Z;+1482-00-00T00:00:00Z
Q507978;Milady de Winter;character from Alexandre Dumas' The Three Musketeers;Milady de Winter;female;;
Q5721186;Barristan Selmy;character in A Song of Ice and Fire;Barristan Selmy;male;;
Q187349;Dr. John Watson;fictional character of Sherlock Holmes;John Hamish Watson;male;;
Q16711815;Filip Filippovich Preobrazhensky;hero of Mikhail Bulgakov's novel "Heart of a Dog";Filip Filippovich Preobrazhensky;male;;
Q3658168;Caractacus Pott;;Caractacus Pott;male;;
Q4696870;Ogion;fictional magician, mentor to lead characters in the Earthsea series;Ogion;male;;
Q1627590;Peter Pevensie;fictional English boy, a lead character in the first two Narnia books;Peter Pevensie;male;;
Q2009573;James Bond;fictional spy;James Bond;male;;
Q4428873;Sofya Semyonovna Marmeladova;character from Dostoyevsky's Crime and Punishment;Sofya Semyonovna Marmeladova;female;;
Q3401100;Tiffany Aching;;Tiffany Aching;female;;
Q16276;Jean-Luc Picard;fictional character from the Star Trek franchise;Jean-Luc Picard;male;+2305-07-13T00:00:00Z;
Q23005862;;;;female;;
Q21065657;executioner of Lille;fictional character;executioner of Lille;male;;
Q2337271;Lydia Bennet;Pride and Prejudice character;Lydia Bennet;female;;
Q193531;Miss Marple;fictional character appearing in Agatha Christie's crime novels;Jane Marple;female;;
Q29583753;Mavra;character from Dostoyevsky's Humiliated and Insulted;Mavra;female;;
Q1168491;Charlie Brown;main protagonist in the comic strip Peanuts by Charles M. Schulz;Charlie Brown;male;;
Q798823;Tom Hagen;fictional human;Tom Hagen;male;;
Q51764;Darth Bane;fictional character;Darth Bane;male;;
Q2857830;Rabadash;;Rabadash;male;;
Q5563337;Ginés de Pasamonte;fictional character in Miguel de Cervantes' novel Don Quixote;Ginés de Pasamonte;male;;
Q223757;Bella Swan;;Bella Swan;female;+1987-09-13T00:00:00Z;
Q5163561;Constance MacKenzie;;Constance MacKenzie;female;;
Q430315;Duchess;fictional human;Duchess;female;;
Q11820476;Glozelle;;Glozelle;male;;
Q988862;Elijah Baley;fictional charachter from the Foundation-Universe by Isaac Asimov;Elijah Baley;male;;
Q3294784;Marquis de Ronquerolles;Honoré de Balzac character;Marquis de Ronquerolles;male;;
Q28602262;Martha Clifford;fictional character in James Joyce's Ulysses;Martha Clifford;female;;
Q1381592;Mowgli;fictional human from Kiplings Jungle Book;Mowgli;male;;
Q19816980;Mary Bennet;Pride and Prejudice character;Mary Bennet;female;;
Q21065725;Bonacieux;;Bonacieux;male;;
Q28723527;Athy;character in James Joyce's Portrait of the Artist;Athy;;;
Q20724361;Dolly Branican;character created by Jules Verne;Dolly Starter;female;;
Q2663841;John Constantine;;John Constantine;male;+1953-05-10T00:00:00Z;
Q3810007;Jorah Mormont;character in A Song of Ice and Fire;Jorah Mormont;male;;
Q27077132;;;;male;;
Q4362101;Pechorin;fictional character in Mikhail Lermontov's novel A Hero of Our Time;Pechorin;male;;
Q10302353;Inspector MacDonald;;Inspector MacDonald;male;;
Q26869142;Glaucus;character from The Last Days of Pompeii;Glaucus;male;;
Q28719746;Eileen Vance;character in James Joyce's Portrait of the Artist;Eileen Vance;;;
Q3188067;Juge Camusot;Honoré de Balzac character;Juge Camusot;male;;
Q967064;Amy Pond;fictional character of Doctor Who;Amy Pond;female;;
Q11874541;Lammio;fictional human;Lammio;male;;
Q2734913;John Carter of Mars;fictional character who appears in the Barsoom novels;John Carter of Mars;male;+1850-01-01T00:00:00Z;
Q19117480;Mrs. Pepperpot;fictional character and protagonist from Alf Prøysen's novel series;Mrs. Pepperpot;female;;
Q2362626;Rand al'Thor;fictional character;Rand al'Thor;male;;
Q50807843;Tyrone C. Love;protagonist of the book Requiem for a Dream.;Tyrone C. Love;male;;
Q29566406;Alexandra Semionovna;character from Dostoyevsky's Humiliated and Insulted;Alexandra Semionovna;female;;
Q20252389;Määttä;fictional character;Määttä;male;;
Q19799435;Myrcella Baratheon;character in A Song of Ice and Fire;Myrcella Baratheon;female;;
Q226822;Zorro;fictional character;Diego;male;;
Q4346196;Parfyon Rogozhin;;Parfyon Rogozhin;male;;
Q3735317;Mary Poppins;fictional nanny, lead character in the Mary Poppins fantasy book series and its adaptations;Mary Poppins;female;;
Q22254472;Daario Naharis;character in A Song of Ice and Fire;Daario Naharis;male;;
Q3189290;Julie d'Aiglemont;Honoré de Balzac character;Julie d'Aiglemont;female;+1792-01-01T00:00:00Z;
Q3165374;Jean-Esther van Gobseck;Honoré de Balzac character;Jean-Esther van Gobseck;male;;
Q931582;Fredo Corleone;fictional human;Fredo Corleone;male;+1919-05-13T00:00:00Z;+1959-03-25T00:00:00Z
Q47486671;Annabel Leigh;character from Vladimir Nabokov's Lolita;Annabel Leigh;female;+1911-00-00T00:00:00Z;+1923-12-00T00:00:00Z
Q51802;Han Solo;character from the Star Wars universe;Han Solo;male;;
Q17355556;Janos Slynt;character in A Song of Ice and Fire;Janos Slynt;male;;
Q30250689;Gerda Fischel;character from Musil's The Man Without Qualities;Gerda Fischel;female;+1890-00-00T00:00:00Z;
Q2223341;Elizabeth Bennet;Pride and Prejudice character;Elizabeth Bennet;female;;
Q5842408;;;;female;+1990-05-06T00:00:00Z;
Q9142773;Tarkaan Ahoshta;;Tarkaan Ahoshta;male;;
Q11733742;Kali;fictional character;Kali;male;;
Q1771228;Shawn Spencer;;Shawn Spencer;male;;
Q9256678;Ewa Horeszkówna;fictional character;Ewa Horeszkówna;female;;
Q3083979;François Birotteau;Honoré de Balzac character;François Birotteau;male;;
Q7048121;Jay Gatsby;protagonist of the novel The Great Gatsby;Jay Gatsby;male;+1890-00-00T00:00:00Z;+1922-09-00T00:00:00Z
Q46080614;Oh Sang Ryong;;Oh Sang Ryong;;;
Q10412347;Anna Holt;;Anna Holt;female;;
Q860266;Trip Tucker;fictional character form Star Trek: Enterprise;Trip Tucker;male;;
Q1191282;Lisbeth Salander;fictional human;Lisbeth Salander;female;+1978-04-30T00:00:00Z;
Q2724114;Lady Jessica;Fictional character from Dune;Lady Jessica;female;;
Q28719969;Wells;character in James Joyce's Portrait of the Artist and Stephen Hero;Wells;;;
Q27703517;Sister Gudule;character from Victor Hugo's The Hunchback of Notre Dame;Sister Gudule;female;+1447-00-00T00:00:00Z;+1482-00-00T00:00:00Z
Q3215995;Lady Dudley;Honoré de Balzac character;Lady Dudley;;;
Q10545945;Kjell Göran Hedberg;;Kjell Göran Hedberg;male;+1944-08-15T00:00:00Z;+2007-10-10T00:00:00Z
Q29585085;doctor;character from Dostoyevsky's Humiliated and Insulted;doctor;male;;
Q9321709;Aarne Honkajoki;fictional character;Aarne Honkajoki;male;;
Q3658247;Panikovsky;fictional character in Ilf and Petrov's novel The Little Golden Calf;Panikovsky;male;;
Q4067182;;;Антон Антонович Сквозник-Дмухановский;male;;
Q1428120;Mister Geppetto;fictional character who appear in Carlo Collodi's book The Adventures of Pinocchio;Mister Geppetto;male;;
Q6009607;Melisandre;character in A Song of Ice and Fire;Melisandre;female;;
Q854177;Kay Scarpetta;;Kay Scarpetta;female;;
Q47492694;Vivian Darkbloom;character from Vladimir Nabokov's Lolita;Vivian Darkbloom;female;;
Q2941939;Catherine Halsey;fictional human in the Halo universe;Catherine Halsey;female;;
Q5398255;Domingo Chavez;Fictional character created by American author Tom Clancy and appearing in many of his novels and video games.;Domingo Chavez;male;;
Q47488866;Gaston Godin;character from Vladimir Nabokov's Lolita;Gaston Godin;male;;
Q613901;Arthur Dent;fictional character;Arthur Philip Dent;male;;
Q49097926;;;;female;;
Q4195615;Ivan Karamazov;;Ivan Karamazov;male;;
Q3372768;Pauline de Saint-Béryl;;Pauline de Saint-Béryl;female;;
Q7634293;Sue Snell;;Sue Snell;female;;
Q16934501;Madame Raquin;;Madame Raquin;;;
Q612625;Christopher Pike;character in the Star Trek franchise;Christopher Pike;male;;
Q669485;Sweeney Todd;legendary character;Sweeney Todd;male;;
Q1469475;Marcus Didius Falco;fictional human;Marcus Didius Falco;male;+0041-03-01T00:00:00Z;
Q19815569;Jane Bennet;Pride and Prejudice Character;Jane Bennet;female;;
Q16920618;Laurent LeClaire;;Laurent LeClaire;male;;
Q20581088;;;;male;;
Q30243389;Clarisse;character from Musil's The Man Without Qualities;Clarisse;female;+1880-00-00T00:00:00Z;
Q18516276;Vice-Questore Patta;;Giuseppe Patta;male;;
Q4020346;Windom Earle;Twin Peaks character;Windom Earle;male;;
Q1640004;Vautrin;Honoré de Balzac character;Vautrin;male;;
Q3262429;Louis Lambert;Honoré de Balzac character;Louis Lambert;male;;
Q6746584;Manabu Yukawa;character from Keigo Higashino's Galileo series;Manabu Yukawa;male;;
Q16690119;Pyotr Petrovich Luzhin;character from Dostoyevsky's Crime and Punishment;Pyotr Petrovich Luzhin;male;;
Q2846779;Ender Wiggin;fIctional character in the Ender’s Game series;Ender Wiggin;male;;
Q15160;Ijon Tichy;fictional character by Stanislaw Lem;Ijon Tichy;male;;
Q18516543;Orazio Falier;;Orazio Falier;male;;
Q1428628;Long John Silver;antagonist of Stevenson's Treasure Island;John Silver;male;;
Q14907064;Rishda;;Rishda;male;;
Q19792294;Tommen Baratheon;character in A Song of Ice and Fire;Tommen Baratheon;male;;
Q4058976;Tom Ayrton;character created by Jules Verne;Tom Ayrton;male;+1820-00-00T00:00:00Z;
Q942938;Dexter Morgan;fictional character from the Showtime series;Dexter Morgan;male;+1971-02-01T00:00:00Z;
Q10615648;Pamela Andrews;character in Pamela; or, Virtue Rewarded;Pamela Andrews;female;;
Q943141;Shasta;fictional boy, the male lead human in The Horse and His Boy (Narnia, book 5);Shasta;male;;
Q4531326;Ellochka Shchukina;fictional character in Ilf and Petrov's novel The Twelve Chairs;Ellochka Shchukina;female;;
Q20987196;Francisco d'Anconia;Atlas Shrugged character;Francisco d'Anconia;male;;
Q11851921;Antero Rokka;fictional human;Antero Rokka;male;;
Q47488793;Richard Schiller;character from Vladimir Nabokov's Lolita;Richard Schiller;male;;
Q46578343;bangssi;;bangssi;;;
Q1974328;John Harriman;fictional character in Star Trek universe;John Harriman;male;;
Q28657003;Dante Riordan;character in James Joyce's Portrait of the Artist and Ulysses;Dante Riordan;;;
Q4653;Sherlock Holmes;fictional private detective created by Arthur Conan Doyle;Sherlock Holmes;male;+1854-01-06T00:00:00Z;
Q15650243;Nikolai Stavrogin;;Nikolai Stavrogin;male;;
Q1264776;Dulcinea;fictional character from Don Quixote;Dulcinea;female;;
Q2533737;Sam Spade;fictional private detective;Sam Spade;male;;
